int_x,int_z
0.9999999999999991,-3.7470027081099033e-16
0.566920064777486,0.862591809716839
-0.4100250994807878,0.9946012304941044
-1.091011725879509,0.23510021292625582
-0.8393417852984741,-0.7916559754738043
0.1851363138489566,-1.1774976806986686
1.1136365637421872,-0.5284287068001363
1.10200406853351,0.6436456935211814
0.0941691069319234,1.3184768329082706
-1.0711914511880383,0.8518776214038014
-1.3537000106491501,-0.41631470682546573
-0.43558814900482806,-1.398883963371073
0.9402373565457189,-1.189021003384862
1.5650691758521422,0.10869666581721225
0.821826651029448,1.4007546526928059
-0.7161269124383066,1.5210011891498436
-1.7176558095627583,0.27762702848796617
-1.2409743797391468,-1.30450604168738
0.38896057602179357,-1.8220324168679374
1.7835788659225866,-0.7323393970579942
1.6678972977144053,1.095672701766968
0.03893113511620944,2.065191416194339
-1.741179349868673,1.240442188643043
-2.0770861057350105,-0.7620257073563554
-0.5630330408062201,-2.2192489794872152
1.5664821082219604,-1.777708499802262
2.4339015114885476,0.29921158556068883
1.16688857782831,2.253904111378859
-1.2431521184234504,2.3140825412876826
-2.703052025914642,0.29075754464606857
-1.8280796814797717,-2.1386850288543404
0.7583385852024489,-2.8111910159830202
2.844325547084506,-0.9950939475225544
2.512256327434563,1.8479842976284033
-0.11017189802064559,3.2259283576283178
-2.8197399251772617,1.7913416006767067
-3.1779696034094185,-1.3614003251492723
-0.6944800969592528,-3.5099356576569853
2.5920723730421975,-2.644386335772545
3.773540261194387,0.6686039170183391
1.6343025506941455,3.6139370804284034
-2.1316277467991633,3.5080881999054405
-4.242141188314802,0.2296317070135404
-2.6753620177066852,-3.48905074749536
1.4165465471290906,-4.324130226077632
4.521245736202291,-1.3171585812187272
3.7673812623101215,3.0920178025442753
-0.439207224450499,5.024971647037252
-4.548655910216394,2.5616740270847016
-4.846365276347966,-2.3879539198453377
-0.7927325532993998,-5.534948446336268
4.2642718834783375,-3.9118206636601154
5.833374638769708,1.3561182378622134
2.25090310037181,5.775073894852263
-3.6171604167344817,5.297747111683113
-6.638932906422235,0.006695528325191061
-3.885703868931416,-5.666539217223125
2.5690421206449288,-6.630534151321909
7.164764473907049,-1.680734189356829
5.622871515841106,5.137416995505144
-1.1018406270613592,7.805170293303378
-7.310569666051592,3.6205088055372117
-7.364893405958318,-4.128191733152015
-0.7782484453768955,-8.703163973522923
6.978801737030431,-5.751067684202129
8.990780592224443,2.5997494704926183
3.033961927110789,9.198705366951922
-6.08374323779033,7.967436579302512
-10.360739062402827,-0.5398552021347086
-5.594014400510906,-9.164879199958907
4.558688668976106,-10.134201222908404
11.320157433006568,-2.028979893534751
8.348852899185978,8.483121967318592
-2.366362072700669,12.088828119433229
-11.708393066943751,5.043928667530786
-11.15089831938241,-7.052625275020395
-0.4930586588688436,-13.646040024250253
11.367330320652966,-8.396253936832835
13.814898153678286,4.802184602580844
3.9721544265459987,14.606284700344409
-10.154209271367698,11.929114983378133
-16.123427840894973,-1.7012469097712692
-7.9699234314530365,-14.765722791422727
7.953981376512952,-15.436844149641379
17.83361052434592,-2.2279917039146047
12.325490166879419,13.930137270138372
-4.694753706435893,18.668781098507694
-18.689306982292358,6.900693478828966
-16.816670740149103,-11.930088561499025
0.36167948795220906,-21.335885623543117
18.434987845399554,-12.160379157738078
21.160497534609476,8.63900513090731
4.98799958741113,23.122723048597468
-16.8346606295722,17.774032086987134
-25.01999928414482,-3.9912799149216496
-11.213360901319085,-23.702916431840105
13.691939707832658,-23.43032813746002
28.014514092449676,-1.9986686607624435
18.07964160361019,22.75996447762089
-8.873672204938988,28.743980042356064
-29.737116346461047,9.219597210776293
