delta_t,computation_time
0.001,58.927486181259155
0.011090909090909092,0.5048000812530518
0.021181818181818184,0.13052058219909668
0.03127272727272727,0.05687999725341797
0.041363636363636366,0.03285837173461914
0.05145454545454546,0.021596908569335938
0.06154545454545455,0.01673436164855957
0.07163636363636364,0.011208295822143555
0.08172727272727273,0.010712862014770508
0.09181818181818183,0.0073049068450927734
0.10190909090909092,0.006469249725341797
0.112,0.004729032516479492
0.1220909090909091,0.004029035568237305
0.13218181818181818,0.0037636756896972656
0.14227272727272727,0.0032958984375
0.15236363636363637,0.002908945083618164
0.16245454545454546,0.002630949020385742
0.17254545454545456,0.0023713111877441406
0.18263636363636365,0.002215147018432617
0.19272727272727275,0.0020852088928222656
0.20281818181818184,0.0023620128631591797
0.2129090909090909,0.0018494129180908203
0.223,0.001744985580444336
0.2330909090909091,0.001653432846069336
0.2431818181818182,0.0015933513641357422
0.25327272727272726,0.001508951187133789
0.26336363636363636,0.001444101333618164
0.27345454545454545,0.001512289047241211
0.28354545454545454,0.0019185543060302734
0.29363636363636364,0.0017910003662109375
0.30372727272727273,0.0016105175018310547
0.31381818181818183,0.0013785362243652344
0.3239090909090909,0.0012202262878417969
0.334,0.0011858940124511719
0.3440909090909091,0.0011568069458007812
0.3541818181818182,0.0011255741119384766
0.3642727272727273,0.0011022090911865234
0.3743636363636364,0.0010802745819091797
0.3844545454545455,0.0010638236999511719
0.3945454545454546,0.0010442733764648438
0.4046363636363637,0.00104522705078125
0.4147272727272727,0.0010516643524169922
0.4248181818181818,0.0010616779327392578
0.4349090909090909,0.0011005401611328125
0.445,0.0011866092681884766
0.4550909090909091,0.0009682178497314453
0.4651818181818182,0.0009524822235107422
0.4752727272727273,0.0009734630584716797
0.4853636363636364,0.0009648799896240234
0.4954545454545455,0.0009343624114990234
0.5055454545454545,0.0009114742279052734
0.5156363636363637,0.0009028911590576172
0.5257272727272727,0.0008976459503173828
0.5358181818181819,0.0009083747863769531
0.5459090909090909,0.0008845329284667969
0.556,0.0008656978607177734
0.5660909090909091,0.0008683204650878906
0.5761818181818182,0.0008642673492431641
0.5862727272727273,0.0013742446899414062
0.5963636363636364,0.0016810894012451172
0.6064545454545455,0.0012874603271484375
0.6165454545454546,0.0009431838989257812
0.6266363636363637,0.0008823871612548828
0.6367272727272728,0.0008790493011474609
0.6468181818181818,0.0008914470672607422
0.6569090909090909,0.0008361339569091797
0.667,0.0008184909820556641
0.6770909090909091,0.0008015632629394531
0.6871818181818182,0.0008084774017333984
0.6972727272727273,0.0008246898651123047
0.7073636363636364,0.0008075237274169922
0.7174545454545455,0.0008025169372558594
0.7275454545454546,0.0007903575897216797
0.7376363636363636,0.001138448715209961
0.7477272727272728,0.00106048583984375
0.7578181818181818,0.0008175373077392578
0.767909090909091,0.0008006095886230469
0.778,0.0008425712585449219
0.7880909090909092,0.0008165836334228516
0.7981818181818182,0.0007898807525634766
0.8082727272727274,0.0007872581481933594
0.8183636363636364,0.0007812976837158203
0.8284545454545454,0.0007803440093994141
0.8385454545454546,0.0008304119110107422
0.8486363636363636,0.0007765293121337891
0.8587272727272728,0.0007731914520263672
0.8688181818181818,0.0007691383361816406
0.878909090909091,0.0007665157318115234
0.889,0.0007810592651367188
0.8990909090909092,0.0007669925689697266
0.9091818181818182,0.0007579326629638672
0.9192727272727274,0.0007712841033935547
0.9293636363636364,0.0007557868957519531
0.9394545454545455,0.0007698535919189453
0.9495454545454546,0.0011420249938964844
0.9596363636363637,0.0012323856353759766
0.9697272727272728,0.0007786750793457031
0.9798181818181818,0.0008230209350585938
0.989909090909091,0.0008122920989990234
1.0,0.0008041858673095703
