St,num_endpoints,history
0.01,5,False
0.1,5,False
1.0,1,False
10.0,1,False
0.55,2,False
0.775,1,False
0.6625000000000001,1,False
0.6062500000000001,1,False
0.578125,1,False
0.5640625,1,False
0.5570312500000001,2,False
0.560546875,1,False
0.5587890625,2,False
0.55966796875,1,False
0.5592285156250001,2,False
0.5594482421875,2,False
0.55955810546875,2,False
0.559613037109375,2,False
0.5596405029296876,2,False
0.5596542358398438,1,False
0.5596473693847657,2,False
0.5596508026123047,1,False
0.01,5,True
0.1,5,True
1.0,3,True
10.0,1,True
5.5,2,True
7.75,3,True
8.875,2,True
9.4375,2,True
9.71875,1,True
9.578125,1,True
9.5078125,1,True
9.47265625,1,True
9.455078125,2,True
9.4638671875,1,True
9.45947265625,1,True
9.457275390625,2,True
9.4583740234375,2,True
9.45892333984375,2,True
9.459197998046875,2,True
9.459335327148438,1,True
9.459266662597656,2,True
